judge,item,short,group,base_mean(4 arms),PTO_LA0_gain@10,PTO_LA5_gain@10,GRPO_LA0_gain@10,GRPO_LA5_gain@5,PTO_K0-K5@10,PTO_dz,PTO_p_holm,GRPO_K0-K5@5,GRPO_dz,GRPO_p_holm
gpt-4o-mini,1,sense of who he was,Self-disclosure,3.0703124999999996,0.8541666666666666,0.8958333333333334,0.5625,0.7291666666666666,-0.041666666666666664,-0.0961688222221799,1.0,-0.020833333333333332,-0.05083078294048703,1.0
gpt-4o-mini,2,revealed his thinking,Self-disclosure,2.622395833333333,1.4791666666666667,1.4583333333333333,1.0729166666666667,1.1041666666666667,0.041666666666666664,0.0627898326244727,1.0,0.041666666666666664,0.055350930346255954,1.0
gpt-4o-mini,3,shared his feelings,Self-disclosure,2.169270833333333,1.2291666666666667,1.1354166666666667,0.8645833333333334,0.7291666666666666,0.11458333333333333,0.16886744558374442,1.0,-0.010416666666666666,-0.0166936325548873,1.0
gpt-4o-mini,4,knew how I was feeling,Empathy/understanding,3.260416666666667,1.09375,1.1458333333333333,0.8125,1.0520833333333333,0.010416666666666666,0.01954305614163772,1.0,-0.052083333333333336,-0.10206207261596575,1.0
gpt-4o-mini,5,understood me,Empathy/understanding,3.213541666666667,1.1354166666666667,1.2395833333333333,0.7395833333333334,1.0,0.041666666666666664,0.07197961219974604,1.0,-0.07291666666666667,-0.14986420182013258,1.0
gpt-4o-mini,6,put himself in my shoes,Empathy/understanding,2.7447916666666665,1.5416666666666667,1.5208333333333333,1.0104166666666667,1.1041666666666667,0.08333333333333333,0.11564059731663334,1.0,0.03125,0.038402979992832015,1.0
gpt-4o-mini,7,comfortable talking,Fluency/ease,3.4947916666666665,1.2083333333333333,1.2291666666666667,0.6979166666666666,1.0833333333333333,0.0,0.0,1.0,0.010416666666666666,0.016259840180865116,1.0
gpt-4o-mini,8,relaxed and secure,Fluency/ease,3.4713541666666665,1.2395833333333333,1.2708333333333333,0.71875,1.125,-0.020833333333333332,-0.04148511169990535,1.0,0.0,0.0,1.0
gpt-4o-mini,9,took charge,Direction/control,2.7109375,1.4791666666666667,1.46875,0.9895833333333334,1.125,0.03125,0.0530973232469623,1.0,0.0625,0.08478358720056402,1.0
gpt-4o-mini,10,said when happy/sad,Self-disclosure,2.299479166666667,1.25,1.21875,0.8020833333333334,0.9479166666666666,0.07291666666666667,0.11169068534589902,1.0,-0.14583333333333334,-0.23070926608873416,0.4532667530566996
gpt-4o-mini,11,no difficulty w/ words,Fluency/ease,3.5104166666666665,1.2083333333333333,1.2291666666666667,0.6458333333333334,1.1145833333333333,-0.020833333333333332,-0.04791677174742169,1.0,0.010416666666666666,0.017676739199450706,1.0
gpt-4o-mini,12,expressed himself,Fluency/ease,3.484375,1.2395833333333333,1.28125,0.6666666666666666,1.125,-0.03125,-0.07005015912464746,1.0,0.010416666666666666,0.017676739199450706,1.0
gpt-4o-mini,13,a 'warm' partner,Warmth/closeness,3.0208333333333335,1.3125,1.3229166666666667,0.7916666666666666,0.9791666666666666,-0.041666666666666664,-0.06134064126848857,1.0,-0.020833333333333332,-0.027643390062671656,1.0
gpt-4o-mini,14,did not judge me,Non-judgment/equality,3.4244791666666665,1.4270833333333333,1.4895833333333333,0.8229166666666666,1.2604166666666667,-0.052083333333333336,-0.11147065690010308,1.0,0.0,0.0,1.0
gpt-4o-mini,15,treated me as equal,Non-judgment/equality,3.3385416666666665,1.4375,1.5,0.8333333333333334,1.28125,-0.07291666666666667,-0.14361437468016167,1.0,0.041666666666666664,0.06134064126848859,1.0
gpt-4o-mini,16,made me feel cared for,Warmth/closeness,3.192708333333333,1.53125,1.5729166666666667,0.65625,1.28125,-0.0625,-0.08478358720056402,1.0,-0.041666666666666664,-0.051646302104933955,1.0
gpt-4o-mini,17,made me feel close,Warmth/closeness,3.1067708333333335,1.46875,1.59375,0.6770833333333334,1.3125,-0.19791666666666666,-0.2388298364453616,0.6509768123635546,-0.19791666666666666,-0.2140229406444778,0.8678966713440105
claude-haiku-4-5,1,sense of who he was,Self-disclosure,2.1692708333333335,0.90625,0.5416666666666666,0.34375,0.6458333333333334,0.375,0.4862603366965558,0.00025019910615587277,-0.11458333333333333,-0.14958959824740023,0.5759806852493446
claude-haiku-4-5,2,revealed his thinking,Self-disclosure,1.6380208333333335,0.71875,0.53125,0.16666666666666666,0.5520833333333334,0.16666666666666666,0.29020657841618336,0.030349861810116403,-0.08333333333333333,-0.12338702919820613,0.6833999819646874
claude-haiku-4-5,3,shared his feelings,Self-disclosure,1.484375,1.7291666666666667,0.6458333333333334,2.0625,0.3020833333333333,1.1041666666666667,1.14104590324742,8.383433965098096e-12,0.4270833333333333,0.4450371361425224,0.0007948700907459069
claude-haiku-4-5,4,knew how I was feeling,Empathy/understanding,1.9296875,0.9895833333333334,0.84375,0.375,0.7604166666666666,0.15625,0.19884958159412813,0.15771304969319244,-0.3020833333333333,-0.40736969262239536,0.0024372668092601047
claude-haiku-4-5,5,understood me,Empathy/understanding,2.057291666666667,0.9583333333333334,0.7291666666666666,0.20833333333333334,0.90625,0.16666666666666666,0.2009755120968349,0.15771304969319244,-0.3541666666666667,-0.4069386488001361,0.002245612751939606
claude-haiku-4-5,6,put himself in my shoes,Empathy/understanding,1.8776041666666667,1.0416666666666667,0.8958333333333334,0.4166666666666667,0.8020833333333334,0.16666666666666666,0.21089252104024836,0.15771304969319244,-0.28125,-0.3556626536457218,0.010144614189987456
claude-haiku-4-5,7,comfortable talking,Fluency/ease,2.0234375,1.125,0.8333333333333334,0.21875,1.09375,0.3020833333333333,0.36176768562638967,0.00768831304656381,-0.28125,-0.257416178600405,0.06773008988932153
claude-haiku-4-5,8,relaxed and secure,Fluency/ease,1.890625,1.1458333333333333,0.8125,0.3125,0.9375,0.3333333333333333,0.39018404598803075,0.004633592276866209,-0.28125,-0.2867255455335964,0.04357581304636278
claude-haiku-4-5,9,took charge,Direction/control,1.5390625,0.8541666666666666,0.75,0.08333333333333333,0.8645833333333334,0.13541666666666666,0.14466683265592084,0.15771304969319244,-0.23958333333333334,-0.2496549788116589,0.07555621158879602
claude-haiku-4-5,10,said when happy/sad,Self-disclosure,1.2317708333333333,1.78125,0.7916666666666666,2.25,0.3854166666666667,1.03125,1.0006143591290613,1.4581073602269054e-10,0.28125,0.2722212177096791,0.07555621158879602
claude-haiku-4-5,11,no difficulty w/ words,Fluency/ease,2.765625,0.8958333333333334,0.5833333333333334,0.5520833333333334,1.0,0.2708333333333333,0.3697909768841048,0.006921665666904666,-0.40625,-0.48318334723491585,0.0002556609199870393
claude-haiku-4-5,12,expressed himself,Fluency/ease,2.7578125,0.9375,0.6666666666666666,0.5416666666666666,1.0,0.23958333333333334,0.35409988216166666,0.00768831304656381,-0.3645833333333333,-0.4578441129590765,0.0006321102958790575
claude-haiku-4-5,13,a 'warm' partner,Warmth/closeness,1.8411458333333335,1.4166666666666667,0.90625,0.9791666666666666,0.9375,0.5104166666666666,0.6532984916761967,1.5720499092250605e-06,-0.08333333333333333,-0.09119115269878,0.7187747724645606
